Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 256, 1, 1, 32, 0.123237, 0.09292, N/A, 0.000335152, 0.000545497, 0.085323, 0.000599327, 2, 2, 1, 2, 1, 1, 57.474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
